,name,assists,bonus,bps,clean_sheets,goals_conceded,goals_scored,own_goals,penalties_missed,penalties_saved,red_cards,saves,selected,total_points,transfers_balance,was_home,yellow_cards,opponent_difficulty,element,position,creativity,ict_index,influence,threat,value,perc_min_played,n6_opponent_difficulty,team_code,element_type_1,element_type_2,element_type_3,element_type_4,element_type
125,Phil Jones,0,0,0,0,0,0,0,0,0,0,0,18530,0,-101,3,0,3.142857142857143,297,DEF,0.0,0.0,0.0,0.0,48,0.0,3.166666667,13,0,1,0,0,2
126,Scott McTominay,0,0,29,1,3,0,0,0,0,0,0,624261,10,72316,3,0,3.142857142857143,309,MID,0.0,0.0,0.0,0.0,49,0.3984126984126984,3.166666667,13,0,0,1,0,3
127,Sergio Romero,0,0,0,0,0,0,0,0,0,0,0,41423,0,-344,3,0,3.142857142857143,289,GK,0.0,0.0,0.0,0.0,49,0.0,3.166666667,13,1,0,0,0,1
128,Tahith Chong,0,0,0,0,0,0,0,0,0,0,0,6439,0,-57,3,0,3.142857142857143,316,MID,0.0,0.0,0.0,0.0,44,0.0,3.166666667,13,0,0,1,0,3
129,Teden Mengi,0,0,0,0,0,0,0,0,0,0,0,515471,0,-12322,3,0,3.142857142857143,319,DEF,0.0,0.0,0.0,0.0,39,0.0,3.166666667,13,0,1,0,0,2
130,Timothy Fosu-Mensah,0,0,0,0,0,0,0,0,0,0,0,47422,0,-816,3,0,3.142857142857143,312,DEF,0.0,0.0,0.0,0.0,43,0.0,3.166666667,13,0,1,0,0,2
131,Victor LindelÃ¶f,0,0,29,1,1,0,0,0,0,0,0,793887,8,-44305,3,0,3.142857142857143,308,DEF,0.0,0.0,0.0,0.0,48,0.24603174603174602,3.166666667,13,0,1,0,0,2
132,Abdoulaye DoucourÃ©,1,0,43,1,2,0,0,0,0,0,0,298695,9,-11722,2,1,3.25,512,MID,2.8,1.4,7.0,4.0,53,0.42857142857142855,3.166666667,7,0,0,1,0,3
133,Alex Iwobi,0,1,46,1,1,1,0,0,0,0,0,86973,12,0,2,0,3.25,159,MID,6.0,11.1,49.2,56.0,59,0.30158730158730157,3.166666667,7,0,0,1,0,3
134,Allan Marques Loureiro,0,0,0,0,0,0,0,0,0,0,0,219395,0,-10793,2,0,3.25,502,MID,0.0,0.0,0.0,0.0,52,0.0,3.166666667,7,0,0,1,0,3
135,AndrÃ© Filipe Tavares Gomes,1,0,35,0,2,0,0,0,0,0,0,70259,8,-1462,2,0,3.25,158,MID,15.7,3.9,22.8,0.0,53,0.2507936507936508,3.166666667,7,0,0,1,0,3
136,Anthony Gordon,0,0,5,0,0,0,0,0,0,0,0,284960,1,-12334,2,0,3.25,168,MID,0.0,0.0,0.0,0.0,43,0.08571428571428572,3.166666667,7,0,0,1,0,3
137,Ben Godfrey,0,0,54,1,3,0,0,0,0,0,0,87545,10,8954,2,2,3.25,566,DEF,1.4,1.5,13.8,0.0,50,0.5714285714285714,3.166666667,7,0,1,0,0,2
138,Bernard AnÃ­cio Caldeira Duarte,0,0,5,1,0,0,0,0,0,0,0,40347,3,-455,2,1,3.25,154,MID,0.0,0.0,0.0,0.0,58,0.15555555555555556,3.166666667,7,0,0,1,0,3
139,Cenk Tosun,0,0,3,0,1,0,0,0,0,0,0,22281,1,3181,2,0,3.25,153,FWD,0.0,0.0,0.0,0.0,60,0.01746031746031746,3.166666667,7,0,0,0,1,4
140,Dominic Calvert-Lewin,0,0,6,2,1,0,0,0,0,0,0,14166777,5,-1041030,2,1,3.25,164,FWD,0.0,0.0,0.0,0.0,78,0.40634920634920635,3.166666667,7,0,0,0,1,4
141,Ellis Simms,0,0,0,0,0,0,0,0,0,0,0,28460,0,-132,2,0,3.25,596,FWD,0.0,0.0,0.0,0.0,45,0.0,3.166666667,7,0,0,0,1,4
142,Fabian Delph,0,0,0,0,0,0,0,0,0,0,0,10794,0,-321,2,0,3.25,149,MID,0.0,0.0,0.0,0.0,49,0.0,3.166666667,7,0,0,1,0,3
143,Gylfi Sigurdsson,0,3,58,2,1,1,0,0,0,0,0,583137,17,53376,2,0,3.25,150,MID,15.4,1.8,2.6,0.0,68,0.36984126984126986,3.166666667,7,0,0,1,0,3
144,James RodrÃ­guez,0,2,40,0,3,1,0,0,0,0,0,2845769,11,-182364,2,1,3.25,508,MID,28.8,4.2,9.6,4.0,77,0.30952380952380953,3.166666667,7,0,0,1,0,3
145,Jarrad Branthwaite,0,0,0,0,0,0,0,0,0,0,0,583395,0,-27525,2,0,3.25,170,DEF,0.0,0.0,0.0,0.0,39,0.0,3.166666667,7,0,1,0,0,2
146,Jean-Philippe Gbamin,0,0,0,0,0,0,0,0,0,0,0,811,0,20,2,0,3.25,161,MID,0.0,0.0,0.0,0.0,50,0.0,3.166666667,7,0,0,1,0,3
147,Jonas LÃ¶ssl,0,0,0,0,0,0,0,0,0,0,0,36938,0,-542,2,0,3.25,151,GK,0.0,0.0,0.0,0.0,43,0.0,3.166666667,7,1,0,0,0,1
148,Jonjoe Kenny,0,0,0,0,0,0,0,0,0,0,0,34138,0,-184,2,0,3.25,160,DEF,0.0,0.0,0.0,0.0,43,0.0,3.166666667,7,0,1,0,0,2
149,Jordan Pickford,0,0,63,1,3,0,0,0,0,0,11,1889717,13,3383,2,1,3.25,157,GK,0.0,1.5,15.4,0.0,48,0.5714285714285714,3.166666667,7,1,0,0,0,1
150,JoÃ£o VirgÃ­nia,0,0,0,0,0,0,0,0,0,0,0,22185,0,-283,2,0,3.25,167,GK,0.0,0.0,0.0,0.0,43,0.0,3.166666667,7,1,0,0,0,1
151,Lucas Digne,1,0,26,0,2,0,0,0,0,0,0,1574544,7,-21752,2,0,3.25,155,DEF,14.4,3.6,17.6,4.0,60,0.2857142857142857,3.166666667,7,0,1,0,0,2
152,Mason Holgate,0,1,66,1,3,0,0,0,0,0,0,407594,12,68650,2,1,3.25,165,DEF,1.2,0.5,4.2,0.0,48,0.553968253968254,3.166666667,7,0,1,0,0,2
153,Michael Keane,0,5,76,1,2,1,0,0,0,0,0,1790128,21,29414,2,0,3.25,156,DEF,0.9,8.8,69.8,17.0,51,0.3888888888888889,3.166666667,7,0,1,0,0,2
154,Moise Kean,0,0,0,0,0,0,0,0,0,0,0,61634,0,-497,2,0,3.25,169,FWD,0.0,0.0,0.0,0.0,57,0.0,3.166666667,7,0,0,0,1,4
155,Niels Nkounkou,0,0,0,0,0,0,0,0,0,0,0,75181,0,-4221,2,0,3.25,559,DEF,0.0,0.0,0.0,0.0,40,0.0,3.166666667,7,0,1,0,0,2
156,Richarlison de Andrade,0,0,5,0,2,0,0,0,0,0,0,1278261,5,4215,2,0,3.25,166,FWD,0.3,0.2,1.2,0.0,78,0.30793650793650795,3.166666667,7,0,0,0,1,4
157,Robin Olsen,0,0,0,0,0,0,0,0,0,0,0,22482,0,-131,2,0,3.25,573,GK,0.0,0.0,0.0,0.0,45,0.0,3.166666667,7,1,0,0,0,1
158,Seamus Coleman,0,0,24,0,1,0,0,0,0,0,0,207709,5,6201,2,0,3.25,152,DEF,0.0,0.2,2.0,0.0,48,0.18888888888888888,3.166666667,7,0,1,0,0,2
159,Tom Davies,0,0,52,1,3,0,0,0,0,0,0,28695,8,-41,2,1,3.25,163,MID,2.3,1.0,7.4,0.0,52,0.5015873015873016,3.166666667,7,0,0,1,0,3
160,Tyler Onyango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.0,644,MID,0.0,0.0,0.0,0.0,45,0.0,3.166666667,7,0,0,1,0,3
161,Yerry Mina,0,1,68,1,3,0,0,0,0,0,0,1099426,13,115164,2,0,3.25,162,DEF,1.3,2.5,16.4,7.0,56,0.5714285714285714,3.166666667,7,0,1,0,0,2
162,Aboubakar Kamara,0,0,10,0,0,0,0,0,0,0,0,18473,3,-122,3,0,3.4,190,MID,0.5,1.1,3.0,7.0,48,0.047619047619047616,3.0,8,0,0,1,0,3
163,Ademola Lookman,1,0,64,2,3,1,0,0,0,0,0,517879,18,14702,3,1,3.4,557,MID,7.7,3.7,3.6,26.0,50,0.6063492063492063,3.0,8,0,0,1,0,3
164,Aleksandar MitroviÄ,0,0,8,0,0,0,0,0,0,0,0,1494159,3,-38830,3,0,3.4,184,FWD,0.0,0.0,0.0,0.0,55,0.03968253968253968,3.0,8,0,0,0,1,4
165,Alfie Mawson,0,0,0,0,0,0,0,0,0,0,0,3169,0,-37,3,0,3.4,185,DEF,0.0,0.0,0.0,0.0,43,0.0,3.0,8,0,1,0,0,2
166,Alphonse Areola,0,5,107,2,4,0,0,0,0,0,20,941090,26,116618,3,0,3.4,516,GK,0.0,3.7,37.2,0.0,45,0.7142857142857143,3.0,8,1,0,0,0,1
167,AndrÃ©-Frank Zambo Anguissa,1,2,74,2,4,0,0,0,0,0,0,911808,14,-5049,3,3,3.4,191,MID,2.0,1.5,11.0,2.0,45,0.6952380952380952,3.0,8,0,0,1,0,3
168,Anthony Knockaert,0,0,0,0,0,0,0,0,0,0,0,12646,0,-176,3,0,3.4,177,MID,0.0,0.0,0.0,0.0,50,0.0,3.0,8,0,0,1,0,3
169,Antonee Robinson,0,0,38,1,2,0,0,0,0,1,0,91163,6,2447,3,0,3.4,484,DEF,15.3,4.0,5.0,20.0,44,0.353968253968254,3.0,8,0,1,0,0,2
170,Bobby Decordova-Reid,0,0,36,2,2,0,0,0,0,0,0,390193,6,50999,3,2,3.4,181,FWD,13.6,3.0,14.2,2.0,53,0.546031746031746,3.0,8,0,0,0,1,4
171,Cyrus Christie,0,0,0,0,0,0,0,0,0,0,0,11865,0,-230,3,0,3.4,179,DEF,0.0,0.0,0.0,0.0,42,0.0,3.0,8,0,1,0,0,2
172,Denis Odoi,0,0,0,0,0,0,0,0,0,0,0,23528,0,-136,3,0,3.4,525,DEF,0.0,0.0,0.0,0.0,42,0.0,3.0,8,0,1,0,0,2
173,Fabricio Agosto RamÃ­rez,0,0,0,0,0,0,0,0,0,0,0,608303,0,-12873,3,0,3.4,171,GK,0.0,0.0,0.0,0.0,40,0.0,3.0,8,1,0,0,0,1
174,Harrison Reed,0,0,58,2,4,0,0,0,0,0,0,247667,11,665,3,1,3.4,373,MID,2.3,4.2,22.6,17.0,44,0.6746031746031746,3.0,8,0,0,1,0,3
175,Ivan Ricardo Neves Abreu Cavaleiro,0,1,32,2,4,1,0,0,0,0,0,60809,18,1670,3,0,3.4,187,MID,27.5,6.2,2.0,32.0,53,0.6365079365079365,3.0,8,0,0,1,0,3
176,Jean MichaÃ«l Seri,0,0,0,0,0,0,0,0,0,0,0,12206,0,-234,3,0,3.4,189,MID,0.0,0.0,0.0,0.0,46,0.0,3.0,8,0,0,1,0,3
177,Joachim Andersen,0,0,91,2,4,0,0,0,0,0,0,14221,16,-44,3,1,3.4,571,DEF,0.1,3.2,31.6,0.0,45,0.7142857142857143,3.0,8,0,1,0,0,2
178,Joe Bryan,0,0,10,0,2,0,0,0,0,0,0,125386,2,-2417,3,1,3.4,182,DEF,4.3,0.4,0.0,0.0,46,0.17142857142857143,3.0,8,0,1,0,0,2
179,Josh Onomah,0,0,5,0,0,0,0,0,0,0,0,14524,2,-153,3,0,3.4,188,MID,0.1,0.1,1.2,0.0,46,0.01904761904761905,3.0,8,0,0,1,0,3
180,Kenny Tete,0,0,65,1,4,0,0,0,0,0,0,24120,11,1551,3,0,3.4,517,DEF,12.4,3.7,18.2,6.0,43,0.5142857142857142,3.0,8,0,1,0,0,2
181,Kevin McDonald,0,0,0,0,0,0,0,0,0,0,0,8317,0,-117,3,0,3.4,172,MID,0.0,0.0,0.0,0.0,47,0.0,3.0,8,0,0,1,0,3
182,Marcus Bettinelli,0,0,0,0,0,0,0,0,0,0,0,10908,0,-244,3,0,3.4,183,GK,0.0,0.0,0.0,0.0,43,0.0,3.0,8,1,0,0,0,1
183,Marek RodÃ¡k,0,0,0,0,0,0,0,0,0,0,0,118307,0,-2043,3,0,3.4,186,GK,0.0,0.0,0.0,0.0,43,0.0,3.0,8,1,0,0,0,1
184,Mario Lemina,0,0,6,0,0,0,0,0,0,0,0,107031,2,-4845,3,0,3.4,493,MID,0.0,0.0,0.0,0.0,45,0.05555555555555555,3.0,8,0,0,1,0,3
185,Maxime Le Marchand,0,0,0,0,0,0,0,0,0,0,0,27636,0,-702,3,0,3.4,173,DEF,0.0,0.0,0.0,0.0,42,0.0,3.0,8,0,1,0,0,2
186,Michael Hector,0,0,0,0,0,0,0,0,0,0,0,54102,0,-988,3,0,3.4,178,DEF,0.0,0.0,0.0,0.0,42,0.0,3.0,8,0,1,0,0,2
187,Neeskens Kebano,0,0,2,0,0,0,0,0,0,0,0,16717,1,-284,3,0,3.4,180,MID,0.0,0.0,0.0,0.0,47,0.0015873015873015873,3.0,8,0,0,1,0,3
188,Ola Aina,0,0,75,2,4,0,0,0,0,0,0,178621,16,2286,3,1,3.4,562,DEF,1.1,1.7,12.6,3.0,45,0.6888888888888889,3.0,8,0,1,0,0,2
189,Ruben Loftus-Cheek,0,0,11,2,3,0,0,0,0,0,0,69671,10,-3847,3,0,3.4,115,MID,0.0,0.0,0.0,0.0,59,0.5714285714285714,3.0,8,0,0,1,0,3
190,Stefan Johansen,0,0,0,0,0,0,0,0,0,0,0,6155,0,-76,3,0,3.4,174,MID,0.0,0.0,0.0,0.0,47,0.0,3.0,8,0,0,1,0,3
191,Terence Kongolo,0,0,0,0,0,0,0,0,0,0,0,1085,0,86,3,0,3.4,585,DEF,0.0,0.0,0.0,0.0,43,0.0,3.0,8,0,1,0,0,2
192,Tim Ream,0,0,0,0,0,0,0,0,0,0,0,46753,0,-838,3,0,3.4,176,DEF,0.0,0.0,0.0,0.0,42,0.0,3.0,8,0,1,0,0,2
193,Tom Cairney,0,0,0,0,0,0,0,0,0,0,0,42998,0,-2193,3,0,3.4,175,MID,0.0,0.0,0.0,0.0,52,0.0,3.0,8,0,0,1,0,3
194,Tosin Adarabioyo,0,0,91,2,4,0,0,0,0,0,0,154962,17,24349,3,0,3.4,572,DEF,0.3,3.7,36.6,0.0,45,0.7142857142857143,3.0,8,0,1,0,0,2
195,Zeze Steven Sessegnon,0,0,0,0,0,0,0,0,0,0,0,15309,0,-180,3,0,3.4,192,DEF,0.0,0.0,0.0,0.0,43,0.0,3.0,8,0,1,0,0,2
196,Adam Forshaw,0,0,0,0,0,0,0,0,0,0,0,2894,0,-1,2,0,2.8,199,MID,0.0,0.0,0.0,0.0,48,0.0,3.0,10,0,0,1,0,3
197,Barry Douglas,0,0,0,0,0,0,0,0,0,0,0,1785308,0,-45482,2,0,2.8,196,DEF,0.0,0.0,0.0,0.0,38,0.0,3.0,10,0,1,0,0,2
198,Charlie Cresswell,0,0,0,0,0,0,0,0,0,0,0,6737,0,1356,1,0,3.0,620,DEF,0.0,0.0,0.0,0.0,40,0.0,3.0,10,0,1,0,0,2
199,Diego Llorente,0,0,3,0,0,0,0,0,0,0,0,7482,1,184,2,0,2.8,549,DEF,0.0,0.0,0.0,0.0,44,0.014285714285714285,3.0,10,0,1,0,0,2
200,Elia Caprile,0,0,0,0,0,0,0,0,0,0,0,124259,0,-1273,2,0,2.8,532,GK,0.0,0.0,0.0,0.0,40,0.0,3.0,10,1,0,0,0,1
201,Ezgjan Alioski,0,1,79,2,4,1,0,0,0,0,0,1000721,21,112523,2,2,2.8,201,DEF,6.8,6.5,41.4,17.0,44,0.5777777777777777,3.0,10,0,1,0,0,2
202,Francisco Casilla CortÃ©s,0,0,12,0,1,0,0,0,0,0,1,358774,2,-3326,2,0,2.8,194,GK,0.0,0.0,0.0,0.0,42,0.14285714285714285,3.0,10,1,0,0,0,1
203,HÃ©lder Wander Sousa de Azevedo e Costa,0,0,2,0,0,0,0,0,0,0,0,1172658,1,-69844,2,0,2.8,205,MID,0.5,0.5,2.0,2.0,52,0.014285714285714285,3.0,10,0,0,1,0,3
204,Ian Carlo Poveda-Ocampo,0,0,7,0,0,0,0,0,0,0,0,145457,3,330,2,0,2.8,209,MID,0.0,0.0,0.0,0.0,44,0.10158730158730159,3.0,10,0,0,1,0,3
205,Illan Meslier,0,3,101,2,4,0,0,0,0,0,15,2384872,22,19918,2,0,2.8,213,GK,0.0,1.0,9.8,0.0,46,0.5714285714285714,3.0,10,1,0,0,0,1
206,Jack Harrison,0,1,78,2,5,2,0,0,0,0,0,939810,22,56800,2,1,2.8,203,MID,28.0,9.8,40.6,29.0,54,0.6666666666666666,3.0,10,0,0,1,0,3
207,Jack Jenkins,0,0,0,0,0,0,0,0,0,0,0,5171,0,36,2,0,2.8,599,MID,0.0,0.0,0.0,0.0,45,0.0,3.0,10,0,0,1,0,3
208,Jamie Shackleton,0,0,15,0,0,0,0,0,0,0,0,11220,3,-60,2,0,2.8,210,MID,2.7,0.9,4.6,2.0,48,0.13015873015873017,3.0,10,0,0,1,0,3
209,Jay-Roy Grot,0,0,0,0,0,0,0,0,0,0,0,7509,0,-83,2,0,2.8,207,MID,0.0,0.0,0.0,0.0,47,0.0,3.0,10,0,0,1,0,3
210,Jordan Stevens,0,0,0,0,0,0,0,0,0,0,0,182186,0,-3708,2,0,2.8,212,MID,0.0,0.0,0.0,0.0,43,0.0,3.0,10,0,0,1,0,3
211,Kalvin Phillips,0,0,61,2,4,0,0,0,0,0,0,487041,9,-12042,2,1,2.8,204,MID,29.7,7.1,31.8,9.0,49,0.5714285714285714,3.0,10,0,0,1,0,3
212,Kamil Miazek,0,0,0,0,0,0,0,0,0,0,0,432063,0,-12940,2,0,2.8,208,GK,0.0,0.0,0.0,0.0,40,0.0,3.0,10,1,0,0,0,1
213,Leif Davis,0,0,0,0,0,0,0,0,0,0,0,511115,0,-1842,2,0,2.8,214,DEF,0.0,0.0,0.0,0.0,39,0.0,3.0,10,0,1,0,0,2
214,Liam Cooper,0,0,34,0,2,0,0,0,0,0,0,160940,4,-11374,2,0,2.8,195,DEF,0.0,0.0,0.0,0.0,44,0.2857142857142857,3.0,10,0,1,0,0,2
215,Luke Ayling,0,0,98,2,5,0,0,0,0,0,0,1285005,16,-49471,2,1,2.8,197,DEF,1.8,3.4,23.6,9.0,45,0.7142857142857143,3.0,10,0,1,0,0,2
216,Mateusz Bogusz,0,0,0,0,0,0,0,0,0,0,0,4781,0,-44,2,0,2.8,533,MID,0.0,0.0,0.0,0.0,44,0.0,3.0,10,0,0,1,0,3
217,Mateusz Klich,1,0,56,1,5,0,0,0,0,0,0,2235944,12,-139096,2,0,2.8,198,MID,40.6,6.5,24.6,0.0,55,0.5333333333333333,3.0,10,0,0,1,0,3
218,Niall Huggins,0,0,0,0,0,0,0,0,0,0,0,4320,0,836,1,0,3.0,619,FWD,0.0,0.0,0.0,0.0,45,0.0,3.0,10,0,0,0,1,4
219,Oliver Casey,0,0,0,0,0,0,0,0,0,0,0,500892,0,-15459,2,0,2.8,215,DEF,0.0,0.0,0.0,0.0,39,0.0,3.0,10,0,1,0,0,2
220,Pablo HernÃ¡ndez DomÃ­nguez,0,0,23,0,0,0,0,0,0,0,0,102926,4,-1151,2,0,2.8,193,MID,1.6,0.5,1.4,2.0,57,0.15714285714285714,3.0,10,0,0,1,0,3
221,Pascal Struijk,0,1,102,2,5,0,0,0,0,0,0,1357387,18,155190,2,0,2.8,211,DEF,1.0,2.3,22.0,0.0,39,0.6984126984126984,3.0,10,0,1,0,0,2
222,Patrick Bamford,2,2,60,2,5,1,0,0,0,0,0,18743745,21,789576,2,0,2.8,202,FWD,11.3,9.7,23.6,62.0,65,0.665079365079365,3.0,10,0,0,0,1,4
223,Raphael Dias Belloli,1,3,98,2,5,2,0,0,0,0,0,622063,28,70561,2,0,2.8,570,MID,4.8,6.4,37.6,22.0,54,0.6396825396825396,3.0,10,0,0,1,0,3
224,Robin Koch,0,0,0,0,0,0,0,0,0,0,0,137715,0,-9554,2,0,2.8,491,DEF,0.0,0.0,0.0,0.0,44,0.0,3.0,10,0,1,0,0,2
225,Rodrigo Moreno,1,2,62,1,5,1,0,0,0,0,0,1113675,17,59004,2,1,2.8,492,FWD,38.0,10.1,46.0,17.0,57,0.5428571428571428,3.0,10,0,0,0,1,4
226,Stuart Dallas,1,3,93,2,5,0,0,0,0,0,0,5320371,23,488685,2,0,2.8,200,DEF,29.3,7.3,31.2,12.0,47,0.7142857142857143,3.0,10,0,1,0,0,2
227,Tyler Roberts,0,0,9,0,0,0,0,0,0,0,0,22477,2,-315,2,0,2.8,206,MID,0.0,0.0,0.0,0.0,47,0.09206349206349207,3.0,10,0,0,1,0,3
228,Adama TraorÃ©,1,0,61,1,8,0,0,0,0,0,0,2578781,14,-45015,3,0,3.1666666666666665,465,MID,38.8,9.0,18.0,33.0,61,0.7126984126984127,3.166666667,20,0,0,1,0,3
229,Andreas SÃ¶ndergaard,0,0,0,0,0,0,0,0,0,0,0,103592,0,15405,2,0,2.75,617,GK,0.0,0.0,0.0,0.0,40,0.0,3.166666667,20,1,0,0,0,1
230,Bruno AndrÃ© Cavaco Jordao,0,0,0,0,0,0,0,0,0,0,0,109383,0,-1552,3,0,3.1666666666666665,475,MID,0.0,0.0,0.0,0.0,43,0.0,3.166666667,20,0,0,1,0,3
231,Christian Marques,0,0,0,0,0,0,0,0,0,0,0,8211,0,814,2,0,3.0,616,DEF,0.0,0.0,0.0,0.0,40,0.0,3.166666667,20,0,1,0,0,2
232,Conor Coady,0,0,80,1,10,0,0,0,0,0,0,2661179,12,-109920,3,1,3.1666666666666665,459,DEF,0.3,0.1,0.4,0.0,49,0.8142857142857143,3.166666667,20,0,1,0,0,2
233,Daniel Castelo Podence,0,0,15,1,2,0,0,0,0,0,0,1700765,5,-295131,3,1,3.1666666666666665,469,MID,0.0,0.0,0.0,0.0,54,0.3111111111111111,3.166666667,20,0,0,1,0,3
234,Fabio Silva,0,1,34,0,10,1,0,0,0,0,0,591489,13,70944,3,1,3.1666666666666665,504,FWD,19.8,12.6,33.0,73.0,52,0.5793650793650794,3.166666667,20,0,0,0,1,4
235,Fernando MarÃ§al,0,0,7,0,1,0,0,0,0,0,0,54891,1,-4376,3,1,3.1666666666666665,505,DEF,0.0,0.0,0.0,0.0,48,0.11746031746031746,3.166666667,20,0,1,0,0,2
236,John Ruddy,0,0,0,0,0,0,0,0,0,0,0,116534,0,-1567,3,0,3.1666666666666665,453,GK,0.0,0.0,0.0,0.0,43,0.0,3.166666667,20,1,0,0,0,1
237,Jonathan Castro Otto,0,0,0,0,0,0,0,0,0,0,0,9478,0,-4,3,0,3.1666666666666665,462,DEF,0.0,0.0,0.0,0.0,54,0.0,3.166666667,20,0,1,0,0,2
238,JoÃ£o Filipe Iria Santos Moutinho,0,0,65,0,10,0,0,0,0,0,0,437055,11,-6478,3,0,3.1666666666666665,454,MID,10.8,1.8,7.6,0.0,52,0.6761904761904762,3.166666667,20,0,0,1,0,3
239,Ki-Jana Hoever,0,0,17,0,2,0,0,0,0,0,0,20870,3,280,3,1,3.1666666666666665,545,DEF,0.0,0.0,0.0,0.0,44,0.25555555555555554,3.166666667,20,0,1,0,0,2
240,Leander Dendoncker,0,0,23,1,5,0,0,0,0,0,0,293386,6,-20867,3,1,3.1666666666666665,464,MID,49.1,7.9,9.0,21.0,47,0.42857142857142855,3.166666667,20,0,0,1,0,3
241,Leonardo Campana,0,0,0,0,0,0,0,0,0,0,0,142571,0,-454,3,0,3.1666666666666665,476,FWD,0.0,0.0,0.0,0.0,48,0.0,3.166666667,20,0,0,0,1,4
242,Lewis Richards,0,0,0,0,0,0,0,0,0,0,0,7067,0,873,2,0,3.0,615,DEF,0.0,0.0,0.0,0.0,40,0.0,3.166666667,20,0,1,0,0,2
243,Luke Cundle,0,0,0,0,0,0,0,0,0,0,0,2730,0,344,3,0,3.1666666666666665,614,MID,0.0,0.0,0.0,0.0,45,0.0,3.166666667,20,0,0,1,0,3
244,LÃ©o Bonatini,0,0,0,0,0,0,0,0,0,0,0,59011,0,-587,3,0,3.1666666666666665,463,FWD,0.0,0.0,0.0,0.0,48,0.0,3.166666667,20,0,0,0,1,4
245,Matija Sarkic,0,0,0,0,0,0,0,0,0,0,0,44774,0,-802,3,0,3.1666666666666665,472,GK,0.0,0.0,0.0,0.0,44,0.0,3.166666667,20,1,0,0,0,1
246,Max Kilman,0,0,42,1,2,0,0,0,0,0,0,4475640,9,-238273,3,0,3.1666666666666665,470,DEF,0.0,0.0,0.0,0.0,41,0.326984126984127,3.166666667,20,0,1,0,0,2
247,Meritan Shabani,0,0,0,0,0,0,0,0,0,0,0,17758,0,-35,3,0,3.1666666666666665,553,MID,0.0,0.0,0.0,0.0,44,0.0,3.166666667,20,0,0,1,0,3
248,Morgan Gibbs-White,0,0,15,0,1,0,0,0,0,0,0,3034,3,84,3,0,3.1666666666666665,473,MID,33.0,4.2,9.2,0.0,49,0.14761904761904762,3.166666667,20,0,0,1,0,3
249,Nigel Lonwijk,0,0,0,0,0,0,0,0,0,0,0,1411,0,387,2,0,3.0,629,DEF,0.0,0.0,0.0,0.0,40,0.0,3.166666667,20,0,1,0,0,2
250,NÃ©lson Cabral Semedo,1,0,91,1,9,0,0,0,0,0,0,1041692,11,-68511,3,3,3.1666666666666665,546,DEF,4.8,4.6,20.8,20.0,53,0.7142857142857143,3.166666667,20,0,1,0,0,2
251,Oskar Buur,0,0,0,0,0,0,0,0,0,0,0,1189051,0,-14323,3,0,3.1666666666666665,467,DEF,0.0,0.0,0.0,0.0,39,0.0,3.166666667,20,0,1,0,0,2
252,Owen Otasowie,0,0,8,0,0,0,0,0,0,0,0,13660,2,-108,3,0,3.1666666666666665,581,MID,0.0,0.0,0.0,0.0,45,0.015873015873015872,3.166666667,20,0,0,1,0,3
253,Patrick Cutrone,0,0,5,0,0,0,0,0,0,0,0,6373,2,1298,2,0,3.0,626,FWD,0.0,0.2,0.0,4.0,60,0.03650793650793651,3.166666667,20,0,0,0,1,4
254,Pedro Lomba Neto,2,1,91,2,9,0,0,0,0,0,0,6439531,20,-88671,3,1,3.1666666666666665,474,MID,82.5,11.8,19.8,16.0,60,0.8206349206349206,3.166666667,20,0,0,1,0,3
255,Rayan Ait Nouri,1,2,60,0,6,0,0,0,0,0,0,84285,12,-2427,3,0,3.1666666666666665,563,DEF,1.2,0.2,0.0,1.0,50,0.5650793650793651,3.166666667,20,0,1,0,0,2
256,RaÃºl JimÃ©nez,0,0,0,0,0,0,0,0,0,0,0,2431768,0,-57278,3,0,3.1666666666666665,460,FWD,0.0,0.0,0.0,0.0,82,0.0,3.166666667,20,0,0,0,1,4
257,Romain SaÃ¯ss,0,2,90,0,10,2,0,0,0,0,0,4387945,21,120076,3,0,3.1666666666666665,461,DEF,6.7,2.8,13.6,8.0,51,0.7142857142857143,3.166666667,20,0,1,0,0,2
258,Rui Pedro dos Santos PatrÃ­cio,0,2,81,1,10,0,0,0,0,0,13,2518997,15,-120669,3,1,3.1666666666666665,455,GK,0.0,1.5,15.0,0.0,54,0.8571428571428571,3.166666667,20,1,0,0,0,1
259,Ryan Bennett,0,0,0,0,0,0,0,0,0,0,0,54012,0,-998,3,0,3.1666666666666665,456,DEF,0.0,0.0,0.0,0.0,44,0.0,3.166666667,20,0,1,0,0,2
260,RÃºben Diogo da Silva Neves,0,3,119,1,10,2,0,0,0,0,0,617904,25,7200,3,0,3.1666666666666665,466,MID,0.8,1.2,1.8,9.0,52,0.807936507936508,3.166666667,20,0,0,1,0,3
261,RÃºben GonÃ§alo Silva Nascimento Vinagre,0,0,0,0,0,0,0,0,0,0,0,395159,0,-9871,3,0,3.1666666666666665,471,DEF,0.0,0.0,0.0,0.0,41,0.0,3.166666667,20,0,1,0,0,2
